Date,HL Earth,GL Mars
"March 21 1931",159.38,135.2
"February 5 1933",115.4,182.1
"April 20 1933",5.78,284.3
"March 8 1935",323.43,346.93
"May 26 1935",85.88,3.06
"April 12 1937",41.7,49.7
"September 26 1939",196.83,168.2
"August 13 1941",153.7,218.48
